17:54:11.734536 ARP, Request who-has 192.168.10.133 (Broadcast) tell 192.168.10.134, length 46
17:54:11.734781 ARP, Reply 192.168.10.133 is-at 00:0c:29:c5:fb:e2 (oui Unknown), length 46
17:54:11.936132 IP 192.168.10.134.56282 > 192.168.10.2.domain: 60827+ PTR? 133.10.168.192.in-addr.arpa. (45)
17:54:11.937951 IP 192.168.10.2.domain > 192.168.10.134.56282: 60827 NXDomain 0/1/0 (95)
17:54:11.939360 IP 192.168.10.134.61339 > 192.168.10.133.1723: Flags [S], seq 828652958, win 1024, options [mss 1460], length 0
17:54:17.836605 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 22447, win 56940, length 0
17:54:17.836987 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 23820, win 64240, length 0
17:54:17.844675 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 14043, win 64240, length 0
17:54:17.847767 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [P.], seq 1479:1972, ack 23820, win 64240, length 493
17:54:17.847950 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [P.], seq 741:1128, ack 14043, win 64240, length 387
17:54:17.847985 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [.], ack 1972, win 64240, length 0
17:54:17.848058 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [.], ack 1128, win 64240, length 0
17:54:17.850981 IP 192.168.10.133.1166 > 172.217.3.2.http: Flags [S], seq 186182963, win 64240, options [mss 1460,nop,nop,sackOK], length 0
17:54:17.852366 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 14043:14883, ack 1128, win 64240, length 840
17:54:17.854362 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [P.], seq 1128:1665, ack 14883, win 63400, length 537
17:54:17.854548 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [.], ack 1665, win 64240, length 0
17:54:17.868004 IP 172.217.3.2.http > 192.168.10.133.1166: Flags [S.], seq 1616513392, ack 186182964, win 64240, options [mss 1460], length 0
17:54:17.868177 IP 192.168.10.133.1166 > 172.217.3.2.http: Flags [.], ack 1, win 64240, length 0
17:54:17.868372 IP 192.168.10.133.1166 > 172.217.3.2.http: Flags [P.], seq 1:339, ack 1, win 64240, length 338
17:54:17.868573 IP 172.217.3.2.http > 192.168.10.133.1166: Flags [.], ack 339, win 64240, length 0
17:54:17.888091 IP 172.217.3.2.http > 192.168.10.133.1166: Flags [P.], seq 1:1431, ack 339, win 64240, length 1430
17:54:17.888127 IP 172.217.3.2.http > 192.168.10.133.1166: Flags [P.], seq 1431:1942, ack 339, win 64240, length 511
17:54:17.888270 IP 192.168.10.133.1166 > 172.217.3.2.http: Flags [.], ack 1942, win 64240, length 0
17:54:17.891651 IP 192.168.10.133.1118 > 192.168.10.2.domain: 49+ A? partner.googleadservices.com. (46)
17:54:17.901176 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 23820:28811, ack 1972, win 64240, length 4991
17:54:17.901275 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 28811:31731, ack 1972, win 64240, length 2920
17:54:17.901302 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 31731:34651, ack 1972, win 64240, length 2920
17:54:17.901372 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 26740, win 64240, length 0
17:54:17.901468 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 28811, win 64240, length 0
17:54:17.901494 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 31731, win 64240, length 0
17:54:17.901503 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 34651, win 62780, length 0
17:54:17.902341 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 34651:36111, ack 1972, win 64240, length 1460
17:54:17.902440 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 36111:46331, ack 1972, win 64240, length 10220
17:54:17.902498 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 46331:47011, ack 1972, win 64240, length 680
17:54:17.902548 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 37571, win 59860, length 0
17:54:17.902584 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 40491, win 56940, length 0
17:54:17.902628 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 43411, win 54020, length 0
17:54:17.902665 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 46331, win 51100, length 0
17:54:17.925942 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 47011:55771, ack 1972, win 64240, length 8760
17:54:17.926081 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 55771:58691, ack 1972, win 64240, length 2920
17:54:17.926123 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 58691:59532, ack 1972, win 64240, length 841
17:54:17.926279 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 48471, win 48960, length 0
17:54:17.926353 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 51391, win 46040, length 0
17:54:17.926415 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 54311, win 43120, length 0
17:54:17.926479 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 57231, win 40200, length 0
17:54:17.926541 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 59532, win 37899, length 0
17:54:17.928047 IP 192.168.10.2.domain > 192.168.10.133.1108: 48 4/9/9 CNAME content.tegna-media.com.edgesuite.net., CNAME a1527.b.akamai.net., A 128.226.20.104, A 128.226.20.105 (471)
17:54:17.929299 IP 192.168.10.133.1167 > 128.226.20.104.http: Flags [S], seq 186257554, win 64240, options [mss 1460,nop,nop,sackOK], length 0
17:54:17.930558 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 59532, win 64240, length 0
17:54:17.932283 IP 128.226.20.104.http > 192.168.10.133.1167: Flags [S.], seq 307190076, ack 186257555, win 64240, options [mss 1460], length 0
17:54:17.932550 IP 192.168.10.133.1167 > 128.226.20.104.http: Flags [.], ack 1, win 64240, length 0
17:54:17.935455 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 14883:16343, ack 1665, win 64240, length 1460
17:54:17.937524 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 16343:24253, ack 1665, win 64240, length 7910
17:54:17.937843 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 24253:30093, ack 1665, win 64240, length 5840
17:54:17.937953 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 30093:33013, ack 1665, win 64240, length 2920
17:54:17.938009 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 33013:38073, ack 1665, win 64240, length 5060
17:54:17.938132 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 17803, win 64240, length 0
17:54:17.938205 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 20723, win 64240, length 0
17:54:17.938283 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 23643, win 64240, length 0
17:54:17.938360 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 25713, win 62170, length 0
17:54:17.938403 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 28633, win 59250, length 0
17:54:17.938442 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 31553, win 56330, length 0
17:54:17.938481 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 34473, win 53410, length 0
17:54:17.938520 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 37393, win 50490, length 0
17:54:17.943321 IP 192.168.10.2.domain > 192.168.10.133.1118: 49 2/4/4 CNAME partnerad.l.doubleclick.net., A 216.58.219.194 (246)
17:54:17.945222 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [P.], seq 1972:2464, ack 59532, win 64240, length 492
17:54:17.945406 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [.], ack 2464, win 64240, length 0
17:54:17.946153 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [S], seq 186318654, win 64240, options [mss 1460,nop,nop,sackOK], length 0
17:54:17.946571 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 38073, win 53570, length 0
17:54:17.947551 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 38073, win 64240, length 0
17:54:17.953584 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 59532:65372, ack 2464, win 64240, length 5840
17:54:17.953700 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 65372:68292, ack 2464, win 64240, length 2920
17:54:17.953740 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 68292:71212, ack 2464, win 64240, length 2920
17:54:17.953986 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 62452, win 64240, length 0
17:54:17.954059 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 65372, win 64240, length 0
17:54:17.954123 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 68292, win 64240, length 0
17:54:17.954163 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 71212, win 61320, length 0
17:54:17.954209 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 71212:73186, ack 2464, win 64240, length 1974
17:54:17.955290 IP 192.168.10.133.1167 > 128.226.20.104.http: Flags [P.], seq 1:366, ack 1, win 64240, length 365
17:54:17.955381 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 73186, win 59346, length 0
17:54:17.955463 IP 128.226.20.104.http > 192.168.10.133.1167: Flags [.], ack 366, win 64240, length 0
17:54:17.955583 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 73186, win 63106, length 0
17:54:17.961760 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 38073:39533, ack 1665, win 64240, length 1460
17:54:17.962924 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 39533:52673, ack 1665, win 64240, length 13140
17:54:17.963027 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 52673:55593, ack 1665, win 64240, length 2920
17:54:17.963193 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 40993, win 64240, length 0
17:54:17.963426 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 43913, win 64240, length 0
17:54:17.963624 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 46833, win 64240, length 0
17:54:17.963697 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 49753, win 61320, length 0
17:54:17.963739 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 52673, win 58400, length 0
17:54:17.963802 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 55593, win 55480, length 0
17:54:17.963859 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [P.], seq 2464:2953, ack 73186, win 63106, length 489
17:54:17.963964 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 55593:58513, ack 1665, win 64240, length 2920
17:54:17.964073 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 58513:64353, ack 1665, win 64240, length 5840
17:54:17.964122 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 64353:73619, ack 1665, win 64240, length 9266
17:54:17.964176 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [.], ack 2953, win 64240, length 0
17:54:17.964223 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 55593, win 59240, length 0
17:54:17.964477 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 73619, win 41214, length 0
17:54:17.964698 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 73619, win 64240, length 0
17:54:17.965399 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [S.], seq 1443711038, ack 186318655, win 64240, options [mss 1460], length 0
17:54:17.965582 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 1, win 64240, length 0
17:54:17.969811 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 73186:76106, ack 2953, win 64240, length 2920
17:54:17.969866 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 76106:77132, ack 2953, win 64240, length 1026
17:54:17.969993 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 76106, win 64240, length 0
17:54:17.974749 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [P.], seq 1:350, ack 1, win 64240, length 349
17:54:17.974926 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [P.], seq 1665:2164, ack 73619, win 64240, length 499
17:54:17.974966 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [.], ack 350, win 64240, length 0
17:54:17.975055 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [.], ack 2164, win 64240, length 0
17:54:17.977364 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [P.], seq 2953:3471, ack 77132, win 63214, length 518
17:54:17.977526 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [.], ack 3471, win 64240, length 0
17:54:17.980324 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 73619:76001, ack 2164, win 64240, length 2382
17:54:17.980536 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 76001, win 64240, length 0
17:54:17.982238 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [P.], seq 2164:2682, ack 76001, win 64240, length 518
17:54:17.982404 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [.], ack 2682, win 64240, length 0
17:54:17.982786 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 77132:80191, ack 3471, win 64240, length 3059
17:54:17.983000 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 80052, win 64240, length 0
17:54:17.985229 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [P.], seq 3471:3989, ack 80191, win 64101, length 518
17:54:17.985394 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [.], ack 3989, win 64240, length 0
17:54:17.987888 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 76001:79211, ack 2682, win 64240, length 3210
17:54:17.988098 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 78921, win 64240, length 0
17:54:17.989944 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [P.], seq 2682:3170, ack 79211, win 63950, length 488
17:54:17.990143 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [.], ack 3170, win 64240, length 0
17:54:17.990816 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 80191:83638, ack 3989, win 64240, length 3447
17:54:17.991029 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 83111, win 64240, length 0
17:54:17.992704 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [P.], seq 3989:4488, ack 83638, win 63713, length 499
17:54:17.992900 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [.], ack 4488, win 64240, length 0
17:54:17.996211 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 79211:82597, ack 3170, win 64240, length 3386
17:54:17.996431 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 82131, win 64240, length 0
17:54:17.998255 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 83638:86257, ack 4488, win 64240, length 2619
17:54:17.998322 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [P.], seq 3170:3689, ack 82597, win 63774, length 519
17:54:17.998460 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [.], ack 3689, win 64240, length 0
17:54:17.998498 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 86257, win 64240, length 0
17:54:18.001962 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [P.], seq 4488:5007, ack 86257, win 64240, length 519
17:54:18.002195 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [.], ack 5007, win 64240, length 0
17:54:18.003149 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 82597:84057, ack 3689, win 64240, length 1460
17:54:18.003639 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 84057:84879, ack 3689, win 64240, length 822
17:54:18.003952 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 84879, win 64240, length 0
17:54:18.007371 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [P.], seq 3689:4210, ack 84879, win 64240, length 521
17:54:18.008031 IP 128.226.20.104.http > 192.168.10.133.1167: Flags [P.], seq 1:1832, ack 366, win 64240, length 1831
17:54:18.008127 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [.], ack 4210, win 64240, length 0
17:54:18.008181 IP 128.226.20.104.http > 192.168.10.133.1167: Flags [P.], seq 1832:17924, ack 366, win 64240, length 16092
17:54:18.008299 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 1:7151, ack 350, win 64240, length 7150
17:54:18.008376 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 7151:8581, ack 350, win 64240, length 1430
17:54:18.008678 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 8581:10011, ack 350, win 64240, length 1430
17:54:18.008773 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 10011:11441, ack 350, win 64240, length 1430
17:54:18.008876 IP 192.168.10.133.1167 > 128.226.20.104.http: Flags [.], ack 1832, win 64240, length 0
17:54:18.009007 IP 192.168.10.133.1167 > 128.226.20.104.http: Flags [.], ack 4752, win 64240, length 0
17:54:18.009161 IP 192.168.10.133.1167 > 128.226.20.104.http: Flags [.], ack 7672, win 64240, length 0
17:54:18.009467 IP 192.168.10.133.1167 > 128.226.20.104.http: Flags [.], ack 10592, win 62780, length 0
17:54:18.009579 IP 192.168.10.133.1167 > 128.226.20.104.http: Flags [.], ack 13512, win 59860, length 0
17:54:18.009633 IP 192.168.10.133.1167 > 128.226.20.104.http: Flags [.], ack 16432, win 56940, length 0
17:54:18.009686 IP 192.168.10.133.1167 > 128.226.20.104.http: Flags [.], ack 17924, win 55448, length 0
17:54:18.009739 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 2921, win 64240, length 0
17:54:18.009792 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 5841, win 64240, length 0
17:54:18.009893 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 8581, win 64240, length 0
17:54:18.009957 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 11441, win 61380, length 0
17:54:18.010032 IP 192.168.10.133.1167 > 128.226.20.104.http: Flags [.], ack 17924, win 59208, length 0
17:54:18.010166 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 11441:12871, ack 350, win 64240, length 1430
17:54:18.010226 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 12871:14301, ack 350, win 64240, length 1430
17:54:18.010270 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 86257:90540, ack 5007, win 64240, length 4283
17:54:18.011306 IP 192.168.10.133.1167 > 128.226.20.104.http: Flags [.], ack 17924, win 64240, length 0
17:54:18.011623 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 14301, win 58520, length 0
17:54:18.011686 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 90540, win 64240, length 0
17:54:18.014917 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 84879:88430, ack 4210, win 64240, length 3551
17:54:18.026145 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 14301, win 62280, length 0
17:54:18.026363 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 88430, win 64240, length 0
17:54:18.027566 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 14301, win 64240, length 0
17:54:18.033408 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [P.], seq 5007:5506, ack 90540, win 64240, length 499
17:54:18.033596 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [P.], seq 4210:4709, ack 88430, win 64240, length 499
17:54:18.033635 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [.], ack 5506, win 64240, length 0
17:54:18.033717 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [.], ack 4709, win 64240, length 0
17:54:18.039339 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 88430:91604, ack 4709, win 64240, length 3174
17:54:18.039416 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 90540:93946, ack 5506, win 64240, length 3406
17:54:18.039654 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 91350, win 64240, length 0
17:54:18.039704 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 93460, win 64240, length 0
17:54:18.041229 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 14301:17161, ack 350, win 64240, length 2860
17:54:18.041731 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 17161, win 64240, length 0
17:54:18.043185 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 17161:20021, ack 350, win 64240, length 2860
17:54:18.043320 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 20021:21451, ack 350, win 64240, length 1430
17:54:18.043381 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 21451:24311, ack 350, win 64240, length 2860
17:54:18.043456 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 20021, win 64240, length 0
17:54:18.043503 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 22911, win 64240, length 0
17:54:18.044262 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [P.], seq 4709:5204, ack 91604, win 63986, length 495
17:54:18.044388 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [.], ack 5204, win 64240, length 0
17:54:18.044598 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 24311:28601, ack 350, win 64240, length 4290
17:54:18.045177 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 25771, win 64240, length 0
17:54:18.045217 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 28601, win 64240, length 0
17:54:18.046406 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 28601:31461, ack 350, win 64240, length 2860
17:54:18.046528 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 31461, win 64240, length 0
17:54:18.046922 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 31461:32891, ack 350, win 64240, length 1430
17:54:18.047168 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [P.], seq 5506:6025, ack 93946, win 63754, length 519
17:54:18.047225 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 32891:35751, ack 350, win 64240, length 2860
17:54:18.047335 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 34351, win 64240, length 0
17:54:18.047384 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [.], ack 6025, win 64240, length 0
17:54:18.047957 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 35751:38611, ack 350, win 64240, length 2860
17:54:18.048166 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 37211, win 64240, length 0
17:54:18.048974 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 38611:42901, ack 350, win 64240, length 4290
17:54:18.049189 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 40071, win 64240, length 0
17:54:18.049223 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 42901, win 64240, length 0
17:54:18.050548 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 91604:95017, ack 5204, win 64240, length 3413
17:54:18.050760 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 94524, win 64240, length 0
17:54:18.051823 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 93946:96789, ack 6025, win 64240, length 2843
17:54:18.051995 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 96789, win 64240, length 0
17:54:18.052931 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [P.], seq 5204:5734, ack 95017, win 63747, length 530
17:54:18.053047 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [.], ack 5734, win 64240, length 0
17:54:18.055279 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [P.], seq 6025:6544, ack 96789, win 64240, length 519
17:54:18.055386 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [.], ack 6544, win 64240, length 0
17:54:18.060389 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 95017:100857, ack 5734, win 64240, length 5840
17:54:18.060560 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 97937, win 64240, length 0
17:54:18.060588 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 100857, win 64240, length 0
17:54:18.060604 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 100857:103777, ack 5734, win 64240, length 2920
17:54:18.060779 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 103777:111090, ack 5734, win 64240, length 7313
17:54:18.060870 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 103777, win 64240, length 0
17:54:18.060899 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 106697, win 62780, length 0
17:54:18.060923 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 109617, win 59860, length 0
17:54:18.060948 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 111090, win 58387, length 0
17:54:18.061166 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [.], ack 111090, win 64240, length 0
17:54:18.061404 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [P.], seq 96789:99464, ack 6544, win 64240, length 2675
17:54:18.062477 IP 192.168.10.133.1165 > 128.226.20.106.http: Flags [P.], seq 5734:6227, ack 111090, win 64240, length 493
17:54:18.062519 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [.], ack 99464, win 64240, length 0
17:54:18.062573 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [.], ack 6227, win 64240, length 0
17:54:18.063146 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 42901:45761, ack 350, win 64240, length 2860
17:54:18.063654 IP 192.168.10.133.1164 > 128.226.20.106.http: Flags [P.], seq 6544:7073, ack 99464, win 64240, length 529
17:54:18.063681 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 45761, win 64240, length 0
17:54:18.063730 IP 128.226.20.106.http > 192.168.10.133.1164: Flags [.], ack 7073, win 64240, length 0
17:54:18.065131 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 45761:50051, ack 350, win 64240, length 4290
17:54:18.065263 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 48681, win 64240, length 0
17:54:18.065612 IP 216.58.219.194.http > 192.168.10.133.1168: Flags [P.], seq 50051:52382, ack 350, win 64240, length 2331
17:54:18.066094 IP 192.168.10.133.1168 > 216.58.219.194.http: Flags [.], ack 51511, win 64240, length 0
17:54:18.067959 IP 128.226.20.106.http > 192.168.10.133.1165: Flags [P.], seq 111090:112550, ack 6227, win 64240, length 1460
